***** Interaction Log File *****
Date and time: 8/31/2018 7:25:51 AM
Condition: Haptics
=============================================
t = 0.7760843, Start Question 1
=============================================
=============================================
t = 2.089934, Start Task 1
=============================================
t = 17.26008, Touch Move Clockwise Zone4, Up, x = 3.777272, y = 1.628731
t = 17.27662, Touch Move Clockwise Zone4, Up, x = 3.846579, y = 1.628731
t = 17.29292, Touch Move Clockwise Zone4, Up, x = 3.915887, y = 1.594078
t = 17.30971, Touch Move Clockwise Zone4, Up, x = 3.950541, y = 1.594078
t = 17.32605, Touch Move Clockwise Zone4, Up, x = 3.985194, y = 1.594078
t = 17.3428, Touch Move Clockwise Zone4, Up, x = 4.019849, y = 1.594078
t = 17.35919, Touch Move Clockwise Zone4, Up, x = 4.054502, y = 1.594078
t = 17.37575, Touch Move Clockwise Zone4, Up, x = 4.089156, y = 1.594078
t = 17.39232, Touch Move Clockwise Zone4, Up, x = 4.158464, y = 1.594078
t = 17.42545, Touch Move Clockwise Zone4, Up, x = 4.193118, y = 1.594078
t = 17.44202, Touch Move Clockwise Zone4, Up, x = 4.227771, y = 1.594078
t = 17.49174, Touch Move Clockwise Zone4, Up, x = 4.262426, y = 1.594078
t = 17.52486, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 1.594078
t = 17.54143, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 1.559424
t = 17.59112, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 1.52477
t = 17.62425, Touch Move Clockwise Zone4, Up, x = 4.331733, y = 1.52477
t = 17.65738, Touch Move Clockwise Zone4, Up, x = 4.331733, y = 1.490116
t = 17.67395, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 1.455462
t = 17.69052, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 1.386155
t = 17.72378, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 1.351501
t = 17.74033, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 1.316847
t = 17.75678, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 1.247539
t = 17.77335, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 1.178231
t = 17.78992, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 1.039616
t = 17.80649, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 0.9703079
t = 17.82305, Touch Move Clockwise Zone4, Up, x = 4.366387, y = 0.866347
t = 17.83962, Touch Move Clockwise Zone4, Up, x = 4.331733, y = 0.7623852
t = 17.85618, Touch Move Clockwise Zone4, Up, x = 4.331733, y = 0.693077
t = 17.87275, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 0.6237695
t = 17.88932, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 0.5544619
t = 17.90589, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 0.4505002
t = 17.92245, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 0.3465385
t = 17.93902, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 0.2425768
t = 17.95558, Touch Move Clockwise Zone4, Up, x = 4.29708, y = 0.1732693
t = 17.97215, Touch Move Clockwise Zone4, Up, x = 4.262426, y = 0.1039617
t = 17.98872, Touch Move Clockwise Zone4, Up, x = 4.262426, y = 0.03465411
t = 18.00529, Touch Move Clockwise Zone4, Up, x = 4.262426, y = -0.06930757
t = 18.02185, Touch Move Clockwise Zone4, Up, x = 4.227771, y = -0.1039617
t = 18.03842, Touch Move Clockwise Zone4, Up, x = 4.227771, y = -0.207923
t = 18.05516, Touch Move Clockwise Zone4, Up, x = 4.227771, y = -0.2772309
t = 18.0717, Touch Move Clockwise Zone4, Up, x = 4.227771, y = -0.3465385
t = 18.08824, Touch Move Clockwise Zone4, Up, x = 4.227771, y = -0.4158464
t = 18.10468, Touch Move Clockwise Zone4, Up, x = 4.227771, y = -0.4505002
t = 18.12125, Touch Move Clockwise Zone4, Up, x = 4.193118, y = -0.485154
t = 18.13782, Touch Move Clockwise Zone4, Up, x = 4.193118, y = -0.5544619
t = 18.17095, Touch Move Clockwise Zone45, Up Left, x = 4.193118, y = -0.6237695
t = 18.18752, Touch Move Counter-Clockwise Zone45, Up Left, x = 4.158464, y = -0.6930773
t = 18.20408, Touch Move Clockwise Zone45, Up Left, x = 4.158464, y = -0.797039
t = 18.22065, Touch Move Clockwise Zone45, Up Left, x = 4.158464, y = -0.8663466
t = 18.23765, Touch Move Clockwise Zone45, Up Left, x = 4.158464, y = -0.9356545
t = 18.25378, Touch Move Clockwise Zone45, Up Left, x = 4.158464, y = -1.004962
t = 18.27035, Touch Move Clockwise Zone45, Up Left, x = 4.158464, y = -1.039616
t = 18.28692, Touch Move Counter-Clockwise Zone45, Up Left, x = 4.12381, y = -1.108924
t = 18.32005, Touch Move Clockwise Zone45, Up Left, x = 4.12381, y = -1.143578
t = 18.33691, Touch Move Clockwise Zone45, Up Left, x = 4.12381, y = -1.178231
t = 18.35319, Touch Move Counter-Clockwise Zone45, Up Left, x = 4.089156, y = -1.212885
t = 18.36999, Touch Move Clockwise Zone45, Up Left, x = 4.089156, y = -1.247539
t = 18.38633, Touch Move Clockwise Zone45, Up Left, x = 4.089156, y = -1.282193
t = 18.40289, Touch Move Clockwise Zone45, Up Left, x = 4.089156, y = -1.316847
t = 18.43617, Touch Move Clockwise Zone45, Up Left, x = 4.089156, y = -1.351501
t = 18.45259, Touch Move Clockwise Zone45, Up Left, x = 4.089156, y = -1.386155
t = 18.46915, Touch Move Counter-Clockwise Zone45, Up Left, x = 4.054502, y = -1.386155
t = 18.50229, Touch Move Clockwise Zone45, Up Left, x = 4.054502, y = -1.420808
t = 18.51891, Touch Move Counter-Clockwise Zone45, Up Left, x = 4.019849, y = -1.420808
t = 18.53548, Touch Move Clockwise Zone45, Up Left, x = 4.019849, y = -1.455462
t = 18.56861, Touch Move Counter-Clockwise Zone45, Up Left, x = 3.985194, y = -1.455462
t = 18.58533, Touch Move Counter-Clockwise Zone45, Up Left, x = 3.950541, y = -1.455462
t = 18.61832, Touch Move Counter-Clockwise Zone45, Up Left, x = 3.881234, y = -1.455462
t = 18.63861, Touch Move Counter-Clockwise Zone45, Up Left, x = 3.846579, y = -1.490116
t = 18.66094, Touch Move Counter-Clockwise Zone45, Up Left, x = 3.742617, y = -1.490116
t = 18.69407, Touch Move Counter-Clockwise Zone45, Up Left, x = 3.67331, y = -1.52477
t = 18.71064, Touch Move Clockwise Zone3, Right, x = 3.604002, y = -1.52477
t = 18.72721, Touch Move Clockwise Zone3, Right, x = 3.534695, y = -1.52477
t = 18.74377, Touch Move Clockwise Zone3, Right, x = 3.500041, y = -1.52477
t = 18.76034, Touch Move Clockwise Zone3, Right, x = 3.430733, y = -1.52477
t = 18.77692, Touch Move Clockwise Zone3, Right, x = 3.326771, y = -1.490116
t = 18.7938, Touch Move Clockwise Zone3, Right, x = 3.257464, y = -1.490116
t = 18.82661, Touch Move Clockwise Zone3, Right, x = 3.188156, y = -1.455462
t = 18.84317, Touch Move Clockwise Zone3, Right, x = 3.118849, y = -1.455462
t = 18.85974, Touch Move Clockwise Zone3, Right, x = 3.014887, y = -1.455462
t = 18.87631, Touch Move Clockwise Zone3, Right, x = 2.980232, y = -1.455462
t = 18.89287, Touch Move Clockwise Zone3, Right, x = 2.876271, y = -1.420808
t = 18.90959, Touch Move Clockwise Zone3, Right, x = 2.77231, y = -1.420808
t = 18.92879, Touch Move Clockwise Zone3, Right, x = 2.703001, y = -1.386155
